real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,,,
3813162543,331.0852926,5.51808821,0.091968137,-0.000141482,-1194.196551,85.2743102,90.25870046,85.02432461,1.499530455,1.659174877,1.579352666,85.1493174,66.13989402,113,213,5,43,0,,,
3813162544,331.1837873,5.519729789,0.091995496,-0.000282271,-1194.119805,145.8557142,157.0559438,145.614966,3.298311074,3.16153502,3.229923047,145.7353401,113.2002022,134,240,5,44,0,,,
3813162544,331.2445138,5.520741896,0.092012365,0.000230052,-1194.088726,126.8806155,136.2470377,126.6466335,2.359943026,2.409576337,2.384759682,126.7636245,98.46388611,126,229,5,45,0,,,
3813162544,331.3110318,5.52185053,0.092030842,0.000187749,-1194.046975,149.6924418,161.4190535,149.6938885,2.580098716,2.755261267,2.667679991,149.6931652,116.2744503,132,237,5,46,0,,,
3813162544,331.4672437,5.524454061,0.092074234,-1.31E-05,-1193.991813,108.3740295,115.4216022,108.1952352,2.586667259,2.339430692,2.463048975,108.2846323,84.11029383,117,218,5,47,0,,,
3813162544,331.6170306,5.52695051,0.092115842,1.05E-05,-1193.861605,84.18805276,89.42351897,83.99876358,1.783084496,1.87570791,1.829396203,84.09340817,65.31971451,110,208,5,49,0,,,
3813162544,331.8304896,5.530508161,0.092175136,-0.000106691,-1193.734249,97.29874206,104.0905756,97.16611589,1.639079153,1.636323316,1.637701235,97.23242898,75.52547388,117,220,5,50,0,,,
3813162544,332.036911,5.533948517,0.092232475,2.44E-05,-1193.622478,178.980281,116.3858367,177.1979084,-37.72235107,-39.16476607,-38.44355857,178.0890947,138.3310426,126,235,5,51,0,,,
3813162545,332.1812382,5.53635397,0.092272566,1.46E-05,-1193.503723,127.0431741,214.2945792,95.54266309,-4.977438316,-57.49100772,-31.23422302,111.2929186,86.4469859,172,273,5,52,0,,,
3813162545,332.2677119,5.537795198,0.092296587,0.000907952,-1193.332687,130.9691554,140.4920653,130.5901705,2.88400878,2.895474403,2.889741591,130.7796629,101.5833516,129,233,5,53,0,,,
3813162545,332.3672335,5.539453892,0.092324232,-8.98E-05,-1193.434778,148.7531077,159.9897176,148.5681862,2.936240771,3.115288008,3.02576439,148.660647,115.4724399,130,235,5,54,0,,,
3813162545,332.6256526,5.543760876,0.092396015,-0.000166096,-1193.241389,124.0686769,133.6217451,123.9061529,2.097992143,2.001623858,2.049808,123.9874149,96.30746002,127,229,5,55,0,,,
3813162545,333.0147126,5.55024521,0.092504087,7.64E-05,-1193.044332,157.7163113,168.7791447,157.7536867,2.652668556,1.741503933,2.197086244,157.734999,122.5209601,139,248,5,57,0,,,
3813162545,333.1474006,5.552456677,0.092540945,2.33E-06,-1192.980573,183.1316353,196.0850198,182.7624697,1.799062542,1.80796966,1.803516101,182.9470525,142.1044705,132,238,5,60,0,,,
3813162546,333.2974339,5.554957231,0.092582621,-3.13E-05,-1192.884403,94.30736609,99.11147034,104.9722208,1.711193293,-15.98249712,-7.135651913,99.63979344,77.3953988,202,304,5,61,0,,,
3813162546,333.5411627,5.559019379,0.092650323,0.003151118,-1192.362262,90.25180032,96.31486395,89.67671698,2.273069965,2.41018802,2.341628993,89.96425865,69.87990877,116,215,5,62,0,,,
3813162546,333.8077328,5.563462214,0.09272437,4.76E-05,-1192.609871,84.30524548,89.93001253,84.18881532,1.909176504,1.951600986,1.930388745,84.2470304,65.43904087,112,212,5,65,0,,,
3813162547,334.2268853,5.570448089,0.092840801,8.64E-05,-1192.409724,84.92874958,90.40573785,84.8578113,1.637292385,1.794948025,1.716120205,84.89328044,65.94101682,113,212,5,66,0,,,
3813162547,334.3058896,5.571764827,0.092862747,-0.224177268,-1158.034682,106.4411515,129.5286799,128.9478607,42.29536757,33.67225653,37.98381205,117.6945061,91.41943115,261,241,5,68,0,,,
3813162547,334.5105634,5.575176056,0.092919601,7.48E-05,-1192.311518,145.6409726,156.4749664,145.5226443,2.767943004,2.541588893,2.654765948,145.5818085,113.0809462,128,232,5,69,0,,,
3813162547,334.5497122,5.575828536,0.092930476,9.89E-05,-1192.314645,122.9414582,132.4549307,122.7537105,2.62751157,2.526168959,2.576840265,122.8475844,95.42209447,121,223,5,70,0,,,
3813162547,334.6230075,5.577050126,0.092950835,1.83E-05,-1192.243497,255.1543879,273.9133415,254.8543202,3.127429507,3.076793009,3.102111258,255.0043541,198.0751164,151,263,5,71,0,,,
3813162547,334.7073195,5.578455325,0.092974255,1.88E-05,-1192.227815,70.78204167,74.84306869,70.86332245,1.190509624,1.354582178,1.272545901,70.82268206,55.0116528,107,206,5,72,0,,,
3813162547,334.953321,5.58255535,0.093042589,-4.80E-05,-1192.130351,184.9393979,196.797302,184.7735778,3.304571024,3.279951779,3.292261402,184.8564879,143.587628,146,256,5,75,0,,,
3813162548,335.2142398,5.586903997,0.093115067,-3.11E-06,-1191.978315,121.7835807,131.4791843,121.7826896,2.18462467,2.118283414,2.151454042,121.7831351,94.59528153,125,227,5,77,0,,,
3813162548,335.4601994,5.591003323,0.093183389,-1.28E-05,-1191.869744,149.1139165,161.7040936,148.9236777,3.178654419,3.307924488,3.243289454,149.0187971,115.7506337,130,236,5,78,0,,,
3813162548,335.5461519,5.592435865,0.093207264,0.000416409,-1191.801112,87.16927562,92.78537578,86.95506673,1.805308326,1.876407567,1.840857946,87.06217117,67.62570681,112,211,5,79,0,,,
3813162548,335.9365363,5.598942272,0.093315705,-6.69E-07,-1191.696744,95.84336974,102.7770278,95.70730809,2.33188159,2.193190335,2.262535962,95.77533891,74.39367641,114,213,5,80,0,,,
3813162548,336.0534899,5.600891499,0.093348192,-8.55E-05,-1191.66062,84.8991046,89.6451339,84.70654304,1.421142401,1.232253112,1.326697757,84.80282382,65.87075447,110,208,5,81,0,,,
3813162548,336.1371539,5.602285898,0.093371432,-1.52E-05,-1191.64954,168.3476719,181.970454,168.0870761,2.878359266,2.897161223,2.887760245,168.217374,130.6631647,137,244,5,82,0,,,
3813162549,336.3253427,5.605422378,0.093423706,2.23E-05,-1191.577252,105.9056554,113.4336257,105.515617,2.181868793,2.150288065,2.166078429,105.7106362,82.11093744,121,223,5,83,0,,,
3813162549,336.4798982,5.607998304,0.093466638,0.000127376,-1191.488791,98.13089789,103.4532098,81.58729176,1.367042016,-4.586750272,-1.609854128,89.85909483,69.79822258,201,302,5,84,0,,,
3813162549,336.5846219,5.609743698,0.093495728,-4.39E-05,-1191.466728,114.7725921,122.6029829,114.5578107,1.834647142,1.715442846,1.775044994,114.6652014,89.066413,121,223,5,85,0,,,
3813162549,336.7341454,5.612235757,0.093537263,-3.90E-05,-1191.465416,183.170024,122.2308591,170.1236433,-36.09492441,-40.83832625,-38.46662533,176.6468336,137.2107635,123,232,5,88,0,,,
3813162549,336.820049,5.613667484,0.093561125,-5.13E-05,-1191.428134,128.584903,137.7326595,128.3250085,2.411760619,2.457941568,2.434851094,128.4549558,99.77763085,124,227,5,89,0,,,
3813162549,336.8952057,5.614920096,0.093582002,1.59E-05,-1191.414484,110.8342913,116.1139596,152.4870199,2.092768661,1.92614874,2.0094587,131.6606556,102.2676643,243,349,5,90,0,,,
3813162549,336.9627633,5.616046055,0.093600768,8.16E-05,-1191.394729,87.93325544,93.37538402,88.03683328,2.437449946,2.647714158,2.542582052,87.98504436,68.34255031,114,215,5,91,0,,,
3813162549,337.0898683,5.618164472,0.093636075,4.11E-05,-1191.38223,142.7892312,152.992912,142.5905057,2.013221803,2.38226261,2.197742207,142.6898685,110.8346263,130,235,5,92,0,,,
3813162550,337.3754358,5.62292393,0.093715399,-0.000117051,-1191.278532,167.3358217,179.9144941,167.1953824,2.81571968,2.495191078,2.655455379,167.2656021,129.9238741,135,241,5,93,0,,,
3813162550,337.444977,5.624082951,0.093734716,-2.50E-05,-1191.246696,74.70020795,78.86909234,74.29766745,1.332188652,1.373556093,1.352872372,74.4989377,57.86719135,110,210,5,94,0,,,
3813162550,337.5159774,5.62526629,0.093754438,-6.80E-05,-1191.238545,113.9017771,122.336331,113.9596067,1.72664858,1.755203463,1.740926021,113.9306919,88.49588131,121,222,5,96,0,,,
3813162550,337.5619264,5.626032106,0.093767202,0.000161641,-1191.222284,85.84413304,91.1526704,85.92226088,1.391449742,1.294571511,1.343010627,85.88319696,66.70993635,110,209,5,97,0,,,
3813162550,337.7840419,5.629734031,0.093828901,4.54E-05,-1191.137801,83.36429868,88.85505163,83.22900396,2.026099639,1.855808551,1.940954095,83.29665132,64.70083212,112,211,5,98,0,,,
3813162550,337.9262602,5.632104337,0.093868406,-2.91E-05,-1191.141246,142.0053198,152.7908205,141.8019922,2.353783057,2.256638993,2.305211025,141.903656,110.2239343,125,228,5,99,0,,,
3813162551,338.2494309,5.637490515,0.093958175,4.67E-05,-1191.05525,101.0937245,107.3203168,100.8481425,1.724721886,2.034329795,1.87952584,100.9709335,78.42936437,116,217,5,100,0,,,
3813162551,338.3775032,5.639625053,0.093993751,1.21E-05,-1190.996948,135.5056664,145.9217212,135.3290719,2.695596797,2.719452162,2.70752448,135.4173691,105.1856987,130,234,5,101,0,,,
3813162551,338.7455485,5.645759141,0.094095986,6.80E-05,-1190.947254,112.4506662,249.9195311,165.1955609,-19.20760568,2.980757245,-8.113424218,138.8231136,107.8311171,195,300,5,102,0,,,
3813162552,339.2187514,5.653645857,0.094227431,0.000108024,-1190.825139,170.7035969,182.2722854,170.8774496,1.288594744,1.256941765,1.272768254,170.7905233,132.6618633,128,233,5,104,0,,,
3813162552,339.276458,5.654607634,0.094243461,-2.38E-05,-1190.84978,108.8835008,116.4633142,108.7947297,2.470807899,2.344848819,2.407828359,108.8391152,84.54098948,123,227,5,105,0,,,
3813162552,339.3918738,5.656531231,0.094275521,-0.000130467,-1190.756161,88.70826523,94.99217077,88.6797278,1.915141932,1.92020039,1.917671161,88.69399652,68.89323025,112,212,5,106,0,,,
3813162552,339.5708549,5.659514248,0.094325237,9.58E-06,-1190.768735,103.0498681,109.9586165,102.8711583,1.981432167,2.09769655,2.039564359,102.9605132,79.97477416,115,215,5,107,0,,,
3813162552,339.7213862,5.662023103,0.094367052,-0.000146984,-1190.750399,98.4865353,105.5846367,98.37772042,1.8755142,1.864451069,1.869982634,98.43212786,76.45734227,116,216,5,108,0,,,
3813162553,340.176203,5.669603384,0.09449339,0.000494014,-1190.647438,126.7009406,136.1290344,126.5904333,2.522925015,2.568938036,2.545931525,126.6456869,98.37227786,122,225,5,109,0,,,
3813162553,340.3306375,5.672177291,0.094536288,-4.64E-05,-1190.721168,132.864328,143.6169755,132.5703818,2.740467377,2.625699769,2.683083573,132.7173549,103.0884575,126,229,5,110,0,,,
3813162553,340.3937554,5.673229257,0.094553821,-0.000167588,-1190.737348,150.3457943,160.9532597,149.9814157,2.2430635,2.374094595,2.308579048,150.163605,116.6398654,132,238,5,111,0,,,
3813162553,340.600775,5.676679583,0.094611326,0.000171331,-1190.706517,3.502089323,3.527893811,3.407991233,0.035709529,-0.016802866,0.009453331,3.455040278,2.683709098,98,177,5,112,0,,,
3813162553,340.6566899,5.677611498,0.094626858,-5.48E-05,-1190.719226,139.7992728,150.9672657,139.7444496,2.388792436,2.286884266,2.337838351,139.7718612,108.5680587,133,239,5,113,0,,,
3813162553,340.8514159,5.680856931,0.094680949,4.70E-05,-1190.709066,119.0981153,127.4378323,118.9308544,2.298736295,2.030418666,2.16457748,119.0144849,92.44472718,123,226,5,114,0,,,
3813162554,341.2286735,5.687144558,0.094785743,-1.58E-05,-1190.73733,70.87732549,75.50281943,70.78943269,1.674165399,1.768853637,1.721509518,70.83337909,55.01996174,108,207,5,115,0,,,
3813162554,341.6157904,5.693596506,0.094893275,-9.24E-05,-1190.753891,174.3420125,187.5890611,173.9654571,4.059149199,4.08804051,4.073594855,174.1537348,135.2742443,141,249,5,116,0,,,
3813162554,341.7895653,5.696492755,0.094941546,0.000390031,-1190.635222,93.43271876,99.21536041,93.40830525,1.974158895,1.9628927,1.968525798,93.42051201,72.56456013,113,213,5,117,0,,,
3813162554,341.8135846,5.696893076,0.094948218,-0.000148692,-1190.730594,90.30953185,96.08607015,90.27057535,1.854573433,1.760457151,1.807515292,90.2900536,70.13297062,114,214,5,118,0,,,
