fwd_lin_slope_l,fwd_lin_slope_r,fwd_lin_slope_avg,bck_lin_slope_l,bck_lin_slope_r,bck_lin_slope_avg,bck_pk_a_l,bck_pk_a_r,bck_pk_a_mean,bck_pk_a_absmean,bck_pk_c_l,bck_pk_c_r,bck_pk_c_mean,bck_pk_c_absmean,bck_pk_imbal_inner,bck_pk_imbal_outer,bck_pk_slope_inner,bck_maxcurv_l,bck_maxcurv_r,bck_maxcurv_avg,bck_maxcurv_whole,bck_avgcurv_l,bck_avgcurv_r,bck_avgcurv_avg,bck_avgcurv_whole,bck_vtx_pos_l,bck_vtx_pos_r,bck_vtx_pos_avg,bck_pk_a_full,bck_vtx_pos_full,mean_bl_val,bl_vert_yval_l,bl_vert_yval_r,bl_vert_yval_avg,bl_vert_yval_whole
0.00230977931967383,-0.00261677520420793,-0.000153497942267051,0.00567042240605945,0.00469091207565659,0.00518066724085802,6.1272335255967e-05,-6.52666563649189e-05,-1.99716055447599e-06,6.32694958104429e-05,-986.980469022743,-983.155650288325,-985.068059655534,985.068059655534,-3.33141780409392,-4.40941331192562,0.00789435498600454,6.1272335112833e-05,-6.52431571733112e-05,-1.9854110302391e-06,-1.02354279171492e-06,6.12643063771723e-05,-6.52597332593989e-05,-1.9854110302391e-06,-1.02355260163406e-06,0.0127886565297161,0.865324875167925,0.439056765848821,-1.02375223286488e-06,6.55847087168318,-984.806511745088,-986.980561376964,-982.695824621289,-984.838192999126,-970.52891606377
0.0015377818634662,0.00185326467444487,0.00169552326895553,0.00846098086815722,-0.00617737903136501,0.0011418009183961,0.000127554868450771,-2.89165114708403e-05,4.93191784899656e-05,7.82356899608059e-05,-973.286024125387,-967.422259317951,-970.354141721669,970.354141721669,-5.18183551269601,-5.28513875525834,0.0114137346094626,0.000127554865673299,-2.89095585061641e-05,4.93226535835675e-05,-1.3399000451474e-05,0.000127508373620766,-2.89129739908215e-05,4.93226535835675e-05,-1.34024485465343e-05,0.149312037206051,-0.606330345919141,-0.228509154356545,-1.34125817267216e-05,1.05889635049389,-970.360408616801,-973.312231839782,-967.322234452574,-970.317233146178,-967.58659511362
0.0034256412668705,0.00291227192754302,0.00316895659720676,0.0238172025436353,0.0180437251621824,0.0209304638529088,2.60861409619392e-05,-6.08632377894287e-05,-1.73885484137448e-05,4.3474689375684e-05,-925.679742238132,-915.340869065873,-920.510305652002,920.510305652002,-8.12699610298682,-11.7243129538365,0.0222049073852099,2.60509716361321e-05,-6.07565111840237e-05,-1.73527697739458e-05,-6.22901033381567e-06,2.60416186414891e-05,-6.08014934672538e-05,-1.73527697739458e-05,-6.23016480148197e-06,-4.02485796075555,1.94835022165746,-1.03825386954905,-6.2410328287005e-06,3.57016936584056,-919.404431266391,-929.99050081861,-912.937118241473,-921.463809530042,-900.020747960436
-0.000494840466822435,0.00243598333163676,0.000970571432407163,0.0214570259902437,-0.0221692653031981,-0.000356119656477225,0.000133366316061904,-0.000146095506945696,-6.36459544189595e-06,0.0001397309115038,-988.088336473436,-978.429551947142,-983.258944210289,983.258944210289,-7.83775372640923,-7.615786497111,0.0167831985576215,0.000133329546248075,-0.000145550170700964,-6.11031222644462e-06,-3.93233063572721e-05,0.000133163175750621,-0.000145854649339201,-6.11031222644462e-06,-3.93822653514621e-05,-0.399377200073712,-0.339258339606747,-0.36931776984023,-3.95114253748716e-05,0.779215142107936,-983.247550962843,-988.26064140582,-978.290306594662,-983.275474000241,-978.868396991514
0.00254003449962891,-0.00263739755098754,-4.86815256793118e-05,0.0132147703512322,-0.00270795526801906,0.00525340754160655,8.84993145294004e-05,-0.000121153049856428,-1.63268676635136e-05,0.000104826182192914,-991.714014959586,-987.054228594605,-989.384121777096,989.384121777096,-3.24267997747074,-4.63798160322949,0.00633335933099755,8.84934028398742e-05,-0.000121077087459475,-1.62918423098006e-05,-1.31034804253636e-05,8.84464599574026e-05,-0.000121133312094118,-1.62918423098006e-05,-1.31063716409601e-05,-0.274848430666463,0.380859572840421,0.053005571086979,-1.31137441443539e-05,0.871295804620705,-989.095067890502,-991.776917748126,-986.885450431975,-989.331184090051,-986.968730968042
-0.00264217169693324,0.00170256950585699,-0.000469801095538123,0.0269130311099928,0.0204855299360598,0.0236992805230263,7.11551272744681e-05,8.30787358612813e-05,7.71169315678747e-05,7.71169315678747e-05,-795.449239728047,-777.930742047344,-786.689990887696,786.689990887696,-14.8028835687605,-19.663578450473,0.0303960648229169,7.10691077205095e-05,8.30402587817591e-05,7.70546832511343e-05,-5.47565549040769e-06,7.0997375822288e-05,8.29687514867567e-05,7.70546832511343e-05,-5.476788922135e-06,-1.45479579362615,-0.763161745195834,-1.10897876941099,-5.49368571026828e-06,4.41881286278653,-785.621749912826,-796.866187170597,-778.39544476891,-787.630815969753,-745.929038041297
0.00162419955102927,0.00019748227948444,0.000910840915256853,0.0123593635863767,-0.00235641197414448,0.00500147580611613,-3.13231116538155e-05,-8.20678764466497e-05,-5.66954940502326e-05,5.66954940502326e-05,-989.399505628444,-985.690442001481,-987.544973814963,987.544973814963,-2.40116817288504,-3.60603890546452,0.00511976156265466,-3.13010238346617e-05,-8.20420910947697e-05,-5.66715574647157e-05,-1.31017570955844e-05,-3.13084791825396e-05,-8.2061309951981e-05,-5.66715574647157e-05,-1.31042167488096e-05,2.54987757438662,0.346840392244105,1.44835898331536,-1.31095882030488e-05,0.813141083014378,-987.214314180185,-987.522584498555,-985.597550495917,-986.560067497236,-985.596610416988
0.000448102612504161,0.00146035873578259,0.000954230674143375,0.0250374896870591,-0.0276153125668177,-0.00128891143987934,0.000114833102736872,3.44124504963157e-05,7.4622776616594e-05,7.4622776616594e-05,-939.573585431519,-929.708445294223,-934.641015362871,934.641015362871,-7.5186546482264,-7.67406697518038,0.0138210563386515,0.000114757499849763,3.43504647545671e-05,7.45539823021648e-05,-4.14589002372119e-05,0.000114605244448707,3.43335067090027e-05,7.45539823021648e-05,-4.15280176711932e-05,-0.716854054097747,4.90373774744089,2.09344184667157,-4.16793568262834e-05,0.696015508972007,-934.782165518417,-940.051569707074,-936.561005443412,-938.306287575243,-929.729018902313
-0.00197850544524213,-0.00153993188672113,-0.00175921866598163,0.0267724530515739,0.0132257906886248,0.0199991218700994,0.000113612004970395,-0.000112702769311392,4.54617829501304e-07,0.000113157387140893,-698.831518699138,-688.026717071629,-693.429117885384,693.429117885384,-8.69954433472708,-11.9841078345055,0.0185096687972917,0.000113520005600119,-0.000112514754514697,5.02625542710746e-07,-1.1961726772468e-05,0.000113355752999094,-0.0001126312951961,5.02625542710746e-07,-1.19656906398276e-05,-0.786130975539184,1.12554339272454,0.16970620859268,-1.19869932290203e-05,1.68919692229074,-692.486364297104,-699.425796758715,-686.791836464402,-693.108816611559,-684.271252854881
0.000501169160116321,1.08650131137514e-05,0.000256017086615036,0.0120214159317056,0.000362382882078611,0.0061918994068921,4.00208176500994e-05,7.99770681560963e-05,5.99989429030978e-05,5.99989429030978e-05,-965.42018154819,-955.530147176658,-960.475164362424,960.475164362424,-8.78211951095966,-10.0152732693069,0.0178498364043896,4.00118985387812e-05,7.99770677232382e-05,5.99944831310097e-05,-1.02509411947833e-05,4.00029987144091e-05,7.99731653941224e-05,5.99944831310097e-05,-1.02532986551317e-05,-1.2522038874079,0.468212156019495,-0.391995865694201,-1.02670660783625e-05,1.67646313675606,-960.257441432016,-965.88430440328,-955.662852808646,-960.773578605963,-953.122724843532
