real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3
3822227134.53277,74.0440754890442,1.2340679248174,0.0205677987469567,-2.74362615149854e-05,-541.658676334126,101.797809296051,109.716040830967,101.746435427527,0.124763437412999,0.300017971106067,0.212390704259533,101.772122361789,78.286777365827,183,303,0,49,0,173.634408372863,0,Inf
3822227134.67882,74.1901187896729,1.23650197982788,0.0206083663304647,0.00402457842239586,-540.717210783359,126.379488732877,133.424069729989,125.026995050511,-0.193440963029298,-0.246373337355406,-0.219907150192352,125.703241891694,96.6954553345606,185,307,0,51,0,272.849728270119,0,Inf
3822227134.77321,74.2845163345337,1.23807527224223,0.0206345878707038,-0.00186604284137728,-540.012108244828,179.575478459386,191.186376373767,178.796120205089,-0.471587831929242,-1.00284788212715,-0.737217857028197,179.185799332237,137.836162338966,186,310,0,52,0,291.554205984071,0,Inf
3822227135.10835,74.619647026062,1.2436607837677,0.0207276797294617,0.00284294962253478,-540.481775404022,122.159153333412,128.75852479192,121.181986215359,-0.118972565463856,-0.0268796024153268,-0.0729260839395915,121.670569774385,93.5933788826729,193,320,0,54,0,333.599622944345,0,Inf
3822227136.36853,75.8798339366913,1.26466389894485,0.0210777316490809,-0.00569792851124524,-539.800339738399,115.962509032412,124.714320657727,115.419069047282,0.104942365918498,0.241155780584016,0.173049073251257,115.690789039847,88.9935164429661,189,316,0,64,0,301.982765047157,0,Inf
3822227136.58138,76.092681646347,1.26821136077245,0.0211368560128742,-0.00189464974697095,-542.020075401887,208.979636053488,225.389699091777,208.500583684986,0.312817021898411,0.687942819894694,0.500379920896552,208.740109869237,160.570401102167,194,318,0,68,0,297.861695760601,0,Inf
3822227137.34715,76.8584547042847,1.28097424507141,0.0213495707511902,-0.00107409300596001,-541.16684837159,111.634706672645,117.166858267736,111.061532428314,0.221927033259142,-0.281864755256702,-0.02996886099878,111.348119550479,85.6529788615747,177,297,0,79,0,255.267829434973,0,Inf
3822227137.49232,77.0036246776581,1.28339374462763,0.0213898957437939,0.000545956243577223,-541.666196242551,291.683887351377,268.394879400262,289.376143400057,-8.15904120298284,-10.1541344424221,-9.15658782270245,290.530015375717,223.486138482544,185,309,0,80,0,344.029499706043,0,Inf
3822227137.53391,77.0452063083649,1.28408677180608,0.021401446196768,0.000352544362556512,-541.684780030051,125.280224233946,134.022886365511,124.949354795618,0.427715094817266,0.475106065293329,0.451410580055298,125.114789514782,96.2427965990184,164,280,0,81,0,191.526652884579,0,Inf
3822227137.72579,77.2370915412903,1.2872848590215,0.0214547476503584,-0.0214526862800193,-533.589104520261,174.152555876133,188.584894866763,175.029818898667,3.64358672875454,2.53694384989717,3.09026528932585,174.5911873874,134.301821558205,184,306,0,85,0,219.91538786497,0,Inf
3822227137.85925,77.3705501556396,1.28950916926066,0.0214918194876777,-0.00123670262018872,-540.838205841441,119.231099962147,129.831953376499,119.211483100695,0.377963731947056,0.0378734512479137,0.207918591597485,119.221291531421,91.709305955194,177,298,0,86,0,189.557664850622,0,Inf
3822227138.38483,77.8961338996887,1.29826889832815,0.0216378149721358,-0.0141364742549987,-537.136729592517,358.308983287239,369.362700831911,354.800043136942,-1.92681034387666,-0.490255109935886,-1.20853272690627,356.554513212091,274.274557185576,192,319,0,90,0,518.462219033812,0,Inf
3822227139.01844,78.5297431945801,1.308829053243,0.02181381755405,-0.000660350036424814,-541.109951361694,181.32851551775,176.970974788698,182.638314739014,-3.09267021819966,-2.18098744668537,-2.63682883244252,181.983415128382,139.988189042402,175,298,0,101,0,313.63034224054,0,Inf
3822227139.39629,78.9075918197632,1.31512653032939,0.0219187755054898,-0.00176273294348439,-539.856214674714,117.426694917054,119.966438580215,116.780620177779,-0.988112409775211,-0.808299345942353,-0.898205877858782,117.103657547417,90.0803457212831,188,311,0,104,0,372.320533769795,0,Inf
