real_time_s,peak_time_s,peak_time_m,peak_time_h,bl_slope,avg_baseline,pk_ht1_hz,pk_ht2_hz,pk_ht3_hz,node_dev_1,node_dev_2,node_dev_mean,avg_pk_ht_hz,mass_pg,pk_fwhm,transit_t,valve_state,pk_order,segment_num,total_volume_au,total_volume_fl,total_density_gcm3
3822222173.25493,574.473536729813,9.57455894549688,0.159575982424948,0.000183447735687307,-468.646348491908,167.248552556446,179.290762965055,166.581512729054,0.173943669753411,0.1234556194676,0.148699644610506,166.91503264275,128.397047209649,134,240,0,169,0,294.221908549273,0,Inf
3822222173.46187,574.680474758148,9.5780079126358,0.159633465210597,-0.00110268684014171,-468.454845779832,146.038800383788,156.655775609602,144.737779855405,0.595562233695077,0.755456096638017,0.675509165166547,145.388290119596,111.837902522357,125,228,0,171,0,226.217027135051,0,Inf
3822222173.56571,574.784316778183,9.57973861296972,0.159662310216162,-0.000747955101014181,-468.436442311142,34.0594488424773,36.2763864987283,34.3374883882983,0.430024117195716,0.141955662044168,0.285989889619942,34.1984686153878,26.3066922121131,109,202,0,173,0,101.482068438547,0,Inf
3822222174.31332,575.531932592392,9.59219887653987,0.159869981275664,0.000206359227067723,-468.467808269016,93.3582513604904,100.311055802286,93.4141222148751,0.434410024758123,0.183244851906325,0.308827438332224,93.3861867876827,71.8360140717259,135,243,0,182,0,310.189874960754,0,Inf
3822222175.05869,576.277302503586,9.6046217083931,0.160077028473218,0.000658340016686719,-479.16770543413,197.863937540904,210.813426694693,197.643698992104,0.0736945168973417,-0.1296421351519,-0.0279738091272794,197.753818266504,152.119350413436,143,254,0,198,0,414.014819148993,0,Inf
3822222175.78794,577.006550550461,9.61677584250768,0.160279597375128,-0.000236373809968282,-479.063623550233,164.175747702854,175.864485527314,163.986964785806,1.28955801709944,0.766324887677826,1.02794145238863,164.08135624433,126.217281393807,132,237,0,205,0,263.679403294191,0,Inf
3822222176.32919,577.547797441483,9.62579662402471,0.160429943733745,-0.00124003687092327,-479.460693070561,114.055913000494,122.845501327357,114.109819637624,0.547195186653527,0.548767226009765,0.547981206331646,114.082866319059,87.7566444475456,138,247,0,211,0,287.356960979253,0,Inf
3822222176.44454,577.663142681122,9.62771904468536,0.160461984078089,0.000891168825945713,-479.553049483136,210.800998360038,226.646298996207,210.349424445952,0.681981515278705,0.608923143672238,0.645452329475472,210.575211402995,161.982027212373,135,243,0,213,0,318.230696641704,0,Inf
3822222176.72986,577.948463439941,9.63247439066569,0.160541239844428,-0.00718896669491634,-478.392476988262,219.206111763273,235.977980838003,219.577681239319,1.68432943482289,1.50607952597183,1.59520448039736,219.391896501296,168.764138534977,138,244,0,215,0,351.697013523891,0,Inf
3822222176.86228,578.080884218216,9.63468140363693,0.160578023393949,2.30295613273666e-05,-479.657365247664,331.011827322162,346.612953461701,330.574909836279,0.730129783216685,0.634951192519502,0.682540487868093,330.793368579221,254.458158079806,157,271,0,217,0,584.224008645088,0,Inf
