fl1_real_time_s,fl1_peak_time_s,fl1_peak_time_m,fl1_peak_time_h,fl1_avg_baseline,fl1_bl_slope,fl1_pk_fwhm,fl1_transit_t,fl1_valve_state,fl1_pk_order,fl1_segment_num,fl1_pk_ht1_hz,fl1_pk_ht2_hz,fl1_pk_ht3_hz,fl1_node_dev_1,fl1_node_dev_2,fl1_node_dev_mean,fl1_avg_pk_ht_hz,fl1_mass_pg,fl1_pair_id,fl1_bl_avg_hz,fl2_real_time_s,fl2_peak_time_s,fl2_peak_time_m,fl2_peak_time_h,fl2_avg_baseline,fl2_bl_slope,fl2_pk_fwhm,fl2_transit_t,fl2_valve_state,fl2_pk_order,fl2_segment_num,fl2_pk_ht1_hz,fl2_pk_ht2_hz,fl2_pk_ht3_hz,fl2_node_dev_1,fl2_node_dev_2,fl2_node_dev_mean,fl2_avg_pk_ht_hz,fl2_mass_pg,fl2_pair_id,fl2_bl_avg_hz,fl1_bl_dens_gcm3,fl2_bl_dens_gcm3,density_gcm3,volume_fl,total_volume_au,total_volume_fl,water_content
3796922548.83085,3411.47054767609,56.8578424612681,0.947630707687802,-494.075035487752,-5.99466989552248e-06,301,706,11,10,10,100.00906575108,104.90628338266,100.831303570239,-0.591151823249667,-0.283711673570786,-0.437431748410226,100.420184660659,78.459005234124,133,-494.075035487752,3796922553.68761,3416.32730817795,56.9387884696325,0.948979807827208,282.39388509594,-7.21066774452461e-07,258,615,7,12,10,81.4265295761421,84.3422124780865,79.3983215811517,-1.64383697300156,0.168485200230707,-0.737675886385424,80.4124255786469,62.8268006146709,133,282.39388509594,1.00837135095777,1.08777371528888,1.40689674582779,196.87328899006,184.839431047405,1794.56906815305,0.890294950200674
3796922562.62716,3425.26685833931,57.0877809723218,0.951463016205364,-494.726029424343,-4.44798254019816e-06,278,660,11,14,10,54.7600755523826,57.65171266272,55.3458403141438,-0.590553666664771,-0.0754795236243257,-0.333016595144548,55.0529579332632,43.0132679922474,134,-494.726029424343,3796922568.04056,3430.68025708199,57.1780042846998,0.952966738078329,268.710843846529,4.28803021266492e-06,235,555,7,16,10,43.8969510096937,46.1252395785637,42.8973552201881,-0.441781749643639,0.61192640188085,0.0850723261186055,43.3971531149409,33.906504702188,134,268.710843846529,1.00836759887456,1.08769485140637,1.38304785173276,114.799933180695,116.391103302388,1130.01794374222,0.898408751988027
3796922575.71871,3438.35841274261,57.3059735457102,0.955099559095171,-495.374010895536,7.54755489817506e-07,269,634,11,18,10,46.1889177013643,48.2579981153987,46.7582708765163,-0.132760573070004,0.694937652544503,0.28108853973725,46.4735942889403,36.310150094685,135,-495.374010895536,3796922581.48474,3444.12444138527,57.4020740230878,0.95670123371813,260.044238082876,-2.43923944772942e-06,239,573,7,20,10,38.9904832822709,43.2756866411913,37.5604733550417,-1.33871945200411,-1.07504128096247,-1.20688036648329,38.2754783186563,29.9049037192075,135,260.044238082876,1.00836386415406,1.08764490036359,1.45779330928068,80.7916581532742,105.559008719802,1024.85130385882,0.921167433900827
3796922602.30314,3464.94283533096,57.7490472555161,0.962484120925268,-495.353001048871,-2.49249420374062e-06,288,676,11,27,10,61.7927206246042,64.6973091695424,62.4701480986044,0.517316352457183,0.254778233102088,0.386047292779635,62.1314343616043,48.5437320221389,136,-495.353001048871,3796922607.32676,3469.96645641327,57.8327742735545,0.963879571225908,276.632522112957,1.20373230107343e-06,245,586,7,29,10,50.70563816104,54.9418352891465,49.7092685213903,-0.937173800436396,-0.0937111551615479,-0.515442477798972,50.2074533412151,39.2274407560782,136,276.632522112957,1.00836398524689,1.08774050896836,1.4219655554792,117.368345567142,137.457870152496,1334.55096973655,0.912054055462332
3796922615.38666,3478.02636146545,57.9671060244242,0.966118433740404,-495.410058913195,-3.67459246883487e-08,278,646,11,31,10,35.4639500008517,37.657588572664,36.0630121624275,0.100337286078588,1.5014361070816,0.800886696580093,35.7634810816396,27.9422623933306,137,-495.410058913195,3796922621.46985,3484.10954618454,58.068492436409,0.967808207273483,256.346973505707,3.82487528242713e-06,240,582,7,34,10,27.7833789928278,29.2859009914609,26.7847296970664,-0.89595874300212,-0.642788304571203,-0.769373523786661,27.2840543449471,21.3172259132179,137,256.346973505707,1.0083636563869,1.0876235907268,1.3426564394156,83.5861969264588,98.3881356557088,955.230731454146,0.912496327668169
3796922628.58549,3491.22518825531,58.1870864709218,0.969784774515364,-495.721902675503,-3.34159176499542e-06,287,665,11,36,10,64.5166120148761,67.8758268925111,64.7690751660537,0.317327070982014,-0.0421280836742343,0.13759949365389,64.6428435904649,50.505913933057,138,-495.721902675503,3796922633.51801,3496.15770554543,58.2692950924238,0.971154918207063,278.597335590227,1.19720446873718e-05,238,579,7,38,10,51.179181797228,53.4626709228374,49.6642023380618,0.0965602369123594,1.0802505663409,0.588405401626629,50.4216920676449,39.3948269983471,138,278.597335590227,1.00836185903722,1.08775183341126,1.3692323334061,139.955794447816,135.06299896934,1311.29964439353,0.893269402576141
3796922681.35844,3543.99813580513,59.0666355967522,0.984443926612536,-496.635067855776,-6.81422942924075e-07,264,619,11,54,10,49.9325831014156,51.8650869094712,49.7402181514655,-0.318464989760034,-0.309242285066607,-0.313853637413321,49.8364006264406,38.9375346282512,140,-496.635067855776,3796922686.79455,3549.43424582481,59.1572374304136,0.985953957173559,267.726917958812,-2.37370299640774e-06,223,516,7,56,10,40.2841720958626,42.0977957197454,40.1044109010245,-1.09756155948413,-1.14858886351139,-1.12307521149776,40.1942914984436,31.4040861178953,140,267.726917958812,1.00835659589797,1.08768918042912,1.41839659989932,94.9603313049497,115.970259216872,1125.93205268476,0.915660690999498
3796922694.53905,3557.17874932289,59.2863124887149,0.988105208145248,-497.06954283633,-3.38020352407521e-06,277,653,11,58,10,51.8426420958592,55.7592342016134,51.2150063595932,-0.112862412715555,-0.010262735941594,-0.0615625743285746,51.5288242277262,40.2598372374362,141,-497.06954283633,3796922699.98872,3562.62842059135,59.3771403431892,0.989619005719821,266.826015866934,2.89327014004091e-06,235,572,7,60,10,41.5207637954856,44.5934834569913,41.0180526530397,-0.788514151604514,-0.643178582314612,-0.715846366959563,41.2694082242626,32.2440824702559,141,266.826015866934,1.00835409174825,1.08768398796968,1.40679551151497,101.043303331787,115.788108601784,1124.163588793,0.910116904390867
3796922707.75041,3570.39010643959,59.5065017739932,0.991775029566553,-495.298672275057,-8.30483762894738e-07,271,650,11,62,10,41.1648495562373,43.6341531369265,40.6894669853384,-0.0402962330878709,0.321566412244379,0.140635089578254,40.9271582707878,31.9766801448987,142,-495.298672275057,3796922713.46396,3576.10365533829,59.6017275889715,0.993362126482858,262.053065347455,5.19995536370215e-07,231,565,7,64,10,33.0794897308882,34.7869921626805,32.4151344064516,-0.937829669696345,-0.785363153724145,-0.861596411710245,32.7473120686699,25.5857080693641,142,262.053065347455,1.00836429837742,1.08765647848533,1.40509591468484,80.6002819803515,93.0912218269519,903.80405447351,0.910821066157638
3796922734.51663,3597.15633058548,59.952605509758,0.9992100918293,-496.699446101401,2.10438387967866e-07,275,646,11,70,10,54.8341634482501,56.2394266790937,54.3202891379842,-0.0236495480292117,0.0128596556930199,-0.00539494616809591,54.5772262931172,42.6415754747482,144,-496.699446101401,3796922740.19531,3602.83501219749,60.0472502032916,1.00078750338819,265.946480738061,4.46642030867918e-06,236,556,7,72,10,44.036765363972,47.0012544986925,42.9068322905928,-1.54407518089992,0.176579394284546,-0.683747893307688,43.4717988272824,33.9648259286934,144,265.946480738061,1.00835622484607,1.08767891866134,1.3981847680385,109.385462453681,104.41887633105,1013.7819865229,0.89210159195188
